Brand,Coe_left,Mileage,Road Tax,COE,Engine Cap,Curb Weight,Manufactured,OMV,Power,No. of Owners,Price,Type_Hatchback,Type_Luxury Sedan,Type_MPV,Type_Mid-Sized Sedan,Type_SUV,Type_Sports Car,Type_Stationwagon,Transmission_Auto,Transmission_Manual
Mercedes-Benz,8.03,21000,586,42564,1332,1405,2019,29676,100,1,130988,1,0,0,0,0,0,0,1,0
Audi,4.46,112000,1194,61103,1984,1615,2015,34828,132,1,84800,0,0,0,0,1,0,0,1,0
Hyundai,4.64,91164,738,51301,1591,1292,2015,15245,97,2,49800,0,0,0,1,0,0,0,1,0
Toyota,2.52,158289,889,13786,1497,1110,2008,13245,80,3,18000,0,0,0,1,0,0,0,1,0
Kia,7.82,29689,70,8920,998,1185,2018,18847,88,1,62500,0,0,0,0,1,0,0,1,0
Mercedes-Benz,5.85,68000,740,50789,1595,1430,2016,28839,90,1,101988,0,1,0,0,0,0,0,1,0
Suzuki,1.87,156000,1030,19328,1586,1220,2008,13600,75,4,14800,1,0,0,0,0,0,0,1,0
Nissan,6.82,71801,742,38000,1598,1205,2018,16572,85,1,66800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,8.21,17500,740,27000,1595,1430,2019,31065,90,1,131988,0,0,0,0,0,0,1,1,0
Mercedes-Benz,7.02,52000,740,38000,1595,1430,2018,32133,90,1,116988,0,0,0,0,0,0,1,1,0
Toyota,5.84,52000,1196,54000,1986,1610,2015,30008,111,1,95800,0,0,0,0,1,0,0,1,0
Honda,7.34,41738,684,32551,1498,1324,2018,27562,127,1,102800,0,0,0,1,0,0,0,1,0
Honda,8.11,35000,742,29159,1597,1237,2019,20084,92,1,91800,0,0,0,1,0,0,0,1,0
BMW,4.89,50000,684,49501,1499,1360,2016,26848,100,2,88000,0,0,0,0,0,1,0,1,0
Nissan,7.03,55805,742,36426,1598,1205,2018,16419,85,1,67800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,8.95,137600,1071,33568,1796,1650,2009,39845,150,4,79800,0,1,0,0,0,0,0,1,0
Subaru,6.31,69666,1210,47501,1998,1682,2017,16906,177,2,87800,0,0,0,0,1,0,0,1,0
Toyota,5.07,191249,1815,48479,1998,1530,2006,28129,108,3,46900,0,1,0,0,0,0,0,1,0
Hyundai,6.22,49212,738,45923,1591,1345,2017,12698,93,2,59800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,7.98,30445,740,26659,1595,1435,2019,28463,90,1,125888,0,0,0,0,1,0,0,1,0
Mercedes-Benz,5.87,45500,740,51765,1595,1430,2017,30372,90,1,103800,0,1,0,0,0,0,0,1,0
Hyundai,7.59,48584,608,25501,1368,1115,2018,8517,73,1,64800,0,0,0,1,0,0,0,1,0
Honda,5.37,87069,682,51506,1496,1185,2016,21244,96,2,62800,0,0,0,0,1,0,0,1,0
Hyundai,7.2,29000,738,33798,1591,1345,2018,10867,93,1,66800,0,0,0,1,0,0,0,1,0
Honda,5.31,95305,1630,57002,2356,1769,2016,28006,129,2,79900,0,0,1,0,0,0,0,1,0
Honda,7.33,93850,1573,32279,1998,1312,2008,22248,114,1,55800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,4.79,90000,740,51301,1595,1395,2015,23157,90,2,75000,1,0,0,0,0,0,0,1,0
Subaru,4.47,100000,1208,57501,1995,1566,2015,14528,110,2,60800,0,0,0,0,1,0,0,1,0
Rolls-Royce,1.98,9900,8004,91910,6592,2495,2012,364652,420,1,575000,0,1,0,0,0,0,0,1,0
Volvo,9.13,8000,1176,34989,1969,1605,2019,33814,140,2,135888,0,1,0,0,0,0,0,1,0
Volkswagen,4.37,74200,508,55399,1197,1229,2015,18038,77,2,46888,1,0,0,0,0,0,0,1,0
Mazda,3.65,133000,1210,75200,1998,1438,2014,17073,114,1,46500,0,1,0,0,0,0,0,1,0
Mercedes-Benz,7.05,218000,3097,37906,2997,1525,2008,63086,170,3,63000,0,0,0,0,0,1,0,1,0
